Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Height,Mouser Part Number,Mouser Price/Stock,Manufacturer_Name
J1,1,Cassette,DSUB-9_Pins_EdgeMount_P2.77mm,,,,smt,"9-pin D-SUB connector, socket (female), Mounting Hole",,,,
J2,1,CS1 EAR,MJ3536N,,MJ-3536N,,tht,"3.5 mm, Mono, Right Angle, Through Hole, 2 Conductors, 1 Internal Switch, Audio Jack Connector",10,490-MJ-3536N,https://www.mouser.co.uk/ProductDetail/Same-Sky/MJ-3536N?qs=WyjlAZoYn51vdgS3Tq1ykQ%3D%3D,Same Sky
J3,1,CS1 MIC,MJ3536N,,MJ-3536N,,tht,"3.5 mm, Mono, Right Angle, Through Hole, 2 Conductors, 1 Internal Switch, Audio Jack Connector",10,490-MJ-3536N,https://www.mouser.co.uk/ProductDetail/Same-Sky/MJ-3536N?qs=WyjlAZoYn51vdgS3Tq1ykQ%3D%3D,Same Sky
